emoji,codepoints,name_en,name_ja,category,subcategory,unicode_version,tags_ja,scenes_ja,tone_ja
😀,1F600,grinning face,にっこり笑顔,Smileys & Emotion,face-smiling,1.0,"笑顔;嬉しい;楽しい;明るい;喜び","挨拶;雑談;うれしい報告","明るい;素直;元気"
😄,1F604,grinning face with smiling eyes,目を細めた笑顔,Smileys & Emotion,face-smiling,0.6,"笑顔;嬉しい;楽しい;大笑い;喜び","お祝い;成功;楽しい会話","明るい;元気;親しみ"
😊,1F60A,smiling face with smiling eyes,ほほえみ,Smileys & Emotion,face-affection,0.6,"笑顔;嬉しい;安心;照れ;やさしい","お礼;挨拶;穏やかな返事","やさしい;かわいい;穏やか"
😂,1F602,face with tears of joy,嬉し泣き笑い,Smileys & Emotion,face-smiling,0.6,"笑顔;爆笑;面白い;涙;楽しい","冗談;面白い話;ツッコミ","にぎやか;くだけた;強い"
🤣,1F923,rolling on the floor laughing,転げるほど笑う顔,Smileys & Emotion,face-smiling,3.0,"笑顔;爆笑;面白い;大笑い;楽しい","冗談;ネタ;盛り上がり","にぎやか;強い;くだけた"
🙂,1F642,slightly smiling face,少し笑う顔,Smileys & Emotion,face-smiling,1.0,"笑顔;穏やか;挨拶;普通;安心","返事;挨拶;軽い同意","控えめ;穏やか;中立"
😉,1F609,winking face,ウインク,Smileys & Emotion,face-smiling,0.6,"笑顔;合図;冗談;秘密;親しみ","冗談;軽い誘い;内緒話","くだけた;親しみ;軽い"
😍,1F60D,smiling face with heart-eyes,ハート目の笑顔,Smileys & Emotion,face-affection,0.6,"好き;愛;かわいい;嬉しい;推し","褒める;推し活;感動","強い;かわいい;好意"
🥰,1F970,smiling face with hearts,ハートに囲まれた笑顔,Smileys & Emotion,face-affection,11.0,"好き;愛;幸せ;かわいい;感謝","お礼;愛情表現;推し活","やさしい;かわいい;温かい"
😢,1F622,crying face,泣き顔,Smileys & Emotion,face-concerned,0.6,"悲しい;涙;残念;寂しい;つらい","謝罪;別れ;失敗","弱い;しんみり;素直"
😭,1F62D,loudly crying face,大泣き,Smileys & Emotion,face-concerned,0.6,"悲しい;涙;感動;つらい;泣く","感動;悲報;強い共感","強い;感情的;素直"
😅,1F605,grinning face with sweat,汗笑い,Smileys & Emotion,face-smiling,0.6,"苦笑い;焦る;安心;失敗;笑顔","謝罪;遅刻;ミスの報告","くだけた;申し訳ない;軽い"
🙏,1F64F,folded hands,合わせた手,People & Body,hands,0.6,"お願い;感謝;祈り;謝罪;よろしく","依頼;お礼;謝る","丁寧;切実;やさしい"
👍,1F44D,thumbs up,サムズアップ,People & Body,hand-fingers-closed,0.6,"了解;賛成;良い;応援;OK","承認;返事;応援","前向き;軽い;明るい"
👏,1F44F,clapping hands,拍手,People & Body,hands,0.6,"拍手;称賛;お祝い;すごい;応援","成功;発表;お祝い","明るい;称賛;にぎやか"
❤️,2764 FE0F,red heart,赤いハート,Smileys & Emotion,emotion,0.6,"愛;好き;感謝;大切;応援","お礼;応援;愛情表現","温かい;強い;定番"
✨,2728,sparkles,きらきら,Activities,event,0.6,"きらきら;新しい;きれい;魔法;うれしい","お祝い;装飾;更新案内","明るい;華やか;軽い"
🎉,1F389,party popper,クラッカー,Activities,event,0.6,"お祝い;祝う;楽しい;達成;パーティー","誕生日;成功;リリース","にぎやか;明るい;祝福"
🎂,1F382,birthday cake,誕生日ケーキ,Food & Drink,food-sweet,0.6,"誕生日;ケーキ;お祝い;甘い;パーティー","誕生日;記念日;お祝い","明るい;かわいい;祝福"
🌸,1F338,cherry blossom,桜,Animals & Nature,plant-flower,0.6,"春;桜;花;日本;卒業","入学;卒業;花見","季節感;やさしい;きれい"
🌻,1F33B,sunflower,ひまわり,Animals & Nature,plant-flower,0.6,"夏;花;太陽;元気;黄色","夏休み;暑中見舞い;応援","明るい;元気;季節感"
☀️,2600 FE0F,sun,太陽,Travel & Places,sky & weather,0.6,"夏;晴れ;暑い;朝;明るい","天気;夏休み;外出","明るい;元気;季節感"
🌊,1F30A,water wave,波,Travel & Places,sky & weather,0.6,"海;夏;水;波;涼しい","海水浴;旅行;リラックス","爽やか;季節感;涼しい"
🍉,1F349,watermelon,スイカ,Food & Drink,food-fruit,0.6,"夏;果物;暑い;海;食べ物","夏休み;暑中見舞い;バーベキュー","明るい;かわいい;季節感"
🎐,1F390,wind chime,風鈴,Activities,event,0.6,"夏;涼しい;風;日本;季節","暑中見舞い;夏祭り;縁側","涼しい;和風;穏やか"
🎆,1F386,fireworks,花火,Activities,event,0.6,"夏;花火;夜;お祝い;祭り","夏祭り;花火大会;年越し","華やか;にぎやか;季節感"
🐶,1F436,dog face,犬の顔,Animals & Nature,animal-mammal,0.6,"動物;犬;ペット;かわいい;友達","ペット;癒し;散歩","かわいい;親しみ;元気"
🐱,1F431,cat face,猫の顔,Animals & Nature,animal-mammal,0.6,"動物;猫;ペット;かわいい;自由","ペット;癒し;雑談","かわいい;気まま;親しみ"
🐰,1F430,rabbit face,うさぎの顔,Animals & Nature,animal-mammal,0.6,"動物;うさぎ;かわいい;春;ふわふわ","イースター;癒し;かわいい話","かわいい;やさしい;軽い"
🐼,1F43C,panda,パンダ,Animals & Nature,animal-mammal,0.6,"動物;パンダ;かわいい;白黒;中国","動物園;癒し;旅行","かわいい;穏やか;親しみ"
🐟,1F41F,fish,魚,Animals & Nature,animal-marine,0.6,"動物;魚;海;水;食べ物","海;釣り;水族館","涼しい;素朴;軽い"
🐬,1F42C,dolphin,イルカ,Animals & Nature,animal-marine,0.6,"動物;イルカ;海;夏;水族館","海水浴;水族館;旅行","爽やか;明るい;かわいい"
🍜,1F35C,steaming bowl,ラーメン,Food & Drink,food-asian,0.6,"食べ物;ラーメン;麺;温かい;日本","昼食;夜食;外食","親しみ;温かい;日常"
🍣,1F363,sushi,寿司,Food & Drink,food-asian,0.6,"食べ物;寿司;日本;魚;ごちそう","外食;お祝い;旅行","定番;ごちそう;和風"
🍺,1F37A,beer mug,ビール,Food & Drink,drink,0.6,"飲み物;ビール;乾杯;夏;お疲れ","飲み会;乾杯;仕事終わり","くだけた;にぎやか;大人"
☕,2615,hot beverage,コーヒー,Food & Drink,drink,0.6,"飲み物;コーヒー;休憩;朝;温かい","朝;休憩;作業","落ち着き;日常;穏やか"
🚗,1F697,automobile,車,Travel & Places,transport-ground,0.6,"乗り物;車;移動;旅行;ドライブ","旅行;通勤;外出","日常;活動的;便利"
✈️,2708 FE0F,airplane,飛行機,Travel & Places,transport-air,0.6,"乗り物;飛行機;旅行;空;遠出","旅行;出張;帰省","活動的;期待;遠い"
🏠,1F3E0,house,家,Travel & Places,place-building,0.6,"家;住まい;帰宅;安心;日常","帰宅;在宅;引っ越し","安心;日常;穏やか"
💡,1F4A1,light bulb,電球,Objects,light & video,0.6,"アイデア;発見;ひらめき;明るい;考える","提案;企画;学習","前向き;知的;軽い"
🔍,1F50D,magnifying glass tilted left,虫眼鏡,Objects,tool,0.6,"検索;探す;調査;確認;見る","検索;調査;レビュー","実用的;中立;仕事"
